""C-ID #"",""C-ID Descriptor"",""Institution"",""Institution type"",""Local Course Title(s)"",""Local Dept. Name & Number"",""Approval date"",""COR effective term""
""COMP 132"",""Programming Concepts and Methodology II"",""Rio Hondo College"",""California Community College"",""Python Programming II"",""CIT 128"",""2023-08-18"",""Fall 2018""
""COMP 122"",""Programming Concepts and Methodology I"",""Rio Hondo College"",""California Community College"",""Python Programming I"",""CIT 127"",""2023-08-18"",""Fall 2018""
""ENGR 260"",""Circuit Analysis"",""Rio Hondo College"",""California Community College"",""Electric Circuit Analysis"",""ENGR 217"",""2023-08-18"",""Fall 2018""
""ENGR 260 L"",""Circuit Analysis Lab"",""Rio Hondo College"",""California Community College"",""Electric Circuit Analysis Lab"",""ENGR 217L"",""2023-08-18"",""Fall 2018""
""ENGR 230"",""Dynamics"",""Rio Hondo College"",""California Community College"",""Engineering Mechanics: Dynamics"",""ENGR 245"",""2023-08-18"",""Fall 2016""
""ENGR 220"",""Programming and Problem-Solving in MATLAB"",""Rio Hondo College"",""California Community College"",""Computational Methods in MATLAB/Octave"",""ENGR 212"",""2023-08-18"",""Fall 2018""
""COMP 152"",""Discrete Structures"",""Rio Hondo College"",""California Community College"",""Discrete Structures"",""CS 152"",""2023-08-18"",""Fall 2019""
""COMP 142"",""Computer Architecture and Organization"",""Rio Hondo College"",""California Community College"",""Computer Architecture and Organization"",""CS 142"",""2023-08-18"",""Fall 2019""
""CMUS 100 X"",""Introduction to Music Technology"",""Rio Hondo College"",""California Community College"",""Introduction to Music Technology"",""MUST 101"",""2023-08-18"",""Fall 2019""
""HOSP 140"",""Introduction to Hotel Management "",""Rio Hondo College"",""California Community College"",""Introduction to Hotel Operations"",""HOSP 102"",""2023-08-18"",""Fall 2019""
""HOSP 100"",""Introduction to Hospitality Management"",""Rio Hondo College"",""California Community College"",""Introduction to the Hospitality Industry"",""HOSP 101"",""2023-08-18"",""Fall 2019""
""HOSP 130"",""Introduction to Food and Beverage Management"",""Rio Hondo College"",""California Community College"",""Introduction to Food and Beverage Management"",""HOSP 104"",""2023-08-18"",""Fall 2019""
""HOSP 110"",""Sanitation and Safety"",""Rio Hondo College"",""California Community College"",""Sanitation and Safety"",""HOSP 103"",""2023-08-18"",""Fall 2019""
""HOSP 150"",""Hospitality Law"",""Rio Hondo College"",""California Community College"",""Hospitality Law"",""HOSP 201"",""2023-08-18"",""Fall 2019""
""ARTS 250"",""Introduction to Digital Art"",""Rio Hondo College"",""California Community College"",""Digital Imaging (Photoshop)"",""GDSN 178"",""2023-08-18"",""Fall 2016""
""ADS 110 X"",""Introduction to Addiction Studies"",""Rio Hondo College"",""California Community College"",""Drugs, Society, and Behavior"",""PSY 121"",""2023-08-18"",""Fall 2019""
""ADS 120 X"",""Basic Counseling Skills"",""Rio Hondo College"",""California Community College"",""Essential Counseling Skills"",""HUSR 130"",""2023-08-18"",""Fall 2019""
""ADS 150 X"",""Prevention, Intervention, and Recovery"",""Rio Hondo College"",""California Community College"",""Chemical Dependency: Intervention, Treatment, and Recovery"",""HUSR 118"",""2023-08-18"",""Fall 2019""
""ADS 140 X"",""Pharmacology of Alcohol and Other Drugs"",""Rio Hondo College"",""California Community College"",""Introduction to the Psychological Effects of Drugs of Abuse"",""PSY 127"",""2023-08-18"",""Fall 2018""
""NUTR 110"",""Introduction to Nutrition Science"",""Rio Hondo College"",""California Community College"",""Introduction to Nutrition Science"",""NUTR 110"",""2023-08-18"",""Fall 2019""
""NUTR 120"",""Principles of Foods with Lab"",""Rio Hondo College"",""California Community College"",""Principles of Foods with Lab"",""NUTR 120"",""2023-08-18"",""Fall 2019""
""ADS 130 X"",""Group Process and Group Leadership"",""Rio Hondo College"",""California Community College"",""Introduction to Group Leadership and Process"",""HUSR 122"",""2023-08-18"",""Fall 2019""
""FTVE 105"",""Introduction to Media Aesthetics and Cinematic Arts"",""Rio Hondo College"",""California Community College"",""Art of Film"",""ART 115"",""2023-08-18"",""Spring 2010""
""ADS 170 X"",""Case Management"",""Rio Hondo College"",""California Community College"",""Introduction to Case Management and Documentation"",""HUSR 124"",""2023-08-18"",""Fall 2019""
""ADS 180 X"",""Family and Addiction"",""Rio Hondo College"",""California Community College"",""Counseling the Family of the Addicted Person"",""HUSR 126"",""2023-08-18"",""Fall 2019""
""THTR 174"",""Introduction to Stage Costume or Fundamentals of Costume Design"",""Rio Hondo College"",""California Community College"",""Costume Design and Production for Theatre, TV, and Film"",""THTR 174"",""2023-08-18"",""Fall 2018""
""SJS 110"",""Introduction to Social Justice"",""Rio Hondo College"",""California Community College"",""Introduction to Ethnic Studies"",""EGSS 110"",""2023-08-18"",""Fall 2021""
""SJS 120"",""Introduction to Women’s Studies"",""Rio Hondo College"",""California Community College"",""Introduction to Women's Studies"",""EGSS 120"",""2023-08-18"",""Fall 2021""
""SJS 130"",""Introduction to LGBTQ Studies"",""Rio Hondo College"",""California Community College"",""Introduction to LGBTQ+ Studies"",""EGSS 130"",""2023-08-18"",""Spring 2021""
""MATH 910 S"",""Differential Equations and Linear Algebra"",""Rio Hondo College"",""California Community College"",""Linear Algebra and Differential Equations"",""MATH 251"",""2023-08-18"",""Fall 2021""
""AUTO 110 X"",""Introduction to Automotive Technology"",""Rio Hondo College"",""California Community College"",""Introduction to Automotive Light Service"",""AUTO 107"",""2023-08-18"",""Fall 2019""
""AUTO 120 X"",""Automatic Transmissions and Transaxles "",""Rio Hondo College"",""California Community College"",""Automatic Transmission/Transaxle"",""AUTO 230"",""2023-08-18"",""Fall 2018""
""AUTO 140 X"",""Automotive Suspension and Steering Systems"",""Rio Hondo College"",""California Community College"",""Suspension, Steering, and Alignment Service"",""AUTO 200"",""2023-08-18"",""Fall 2018""
""AUTO 170 X"",""Automotive Heating, Ventilation and Air Conditioning"",""Rio Hondo College"",""California Community College"",""Heating and Air Conditioning"",""AUTO 240"",""2023-08-18"",""Fall 2018""
""ENGL 120"",""Introduction to Literature"",""Rio Hondo College"",""California Community College"",""Approaches to Literature Honors"",""LIT 102H"",""2023-08-18"",""Fall 2012""
""SPAN 200"",""Intermediate Spanish I"",""Rio Hondo College"",""California Community College"",""Spanish III Honors"",""SPAN 201H"",""2023-08-18"",""Spring 2013""
""AUTO 150 X"",""Automotive Braking Systems"",""Rio Hondo College"",""California Community College"",""Automotive Brake Systems"",""AUTO 210"",""2023-08-18"",""Fall 2020""
""ACCT 120"",""Managerial Accounting"",""Rio Hondo College"",""California Community College"",""Managerial Accounting Honors"",""ACCT 102H"",""2023-08-18"",""Spring 2020""
""ITIS 120"",""Computer Information Systems, Computer Concepts, Information Technology Concepts"",""Rio Hondo College"",""California Community College"",""Introduction to Computer Information Technology"",""CIT 101"",""2023-08-18"",""Fall 2016""
""ITIS 140"",""Introduction to Systems Analysis and Design"",""Rio Hondo College"",""California Community College"",""Systems Analysis and Design"",""CIT 200"",""2023-08-18"",""Fall 2014""
""ITIS 180"",""Introduction to Database Management Systems"",""Rio Hondo College"",""California Community College"",""Database Essentials in Amazon Web Services"",""CIT 172"",""2023-08-18"",""Fall 2019""
""CMUS 140 X"",""Music Business"",""Rio Hondo College"",""California Community College"",""Introduction to the Music Business"",""MUST 105"",""2023-08-18"",""Fall 2022""
""ITIS 130"",""Introduction to Programming Concepts and Methodologies"",""Rio Hondo College"",""California Community College"",""Introduction to Programming"",""CIT 111"",""2023-08-18"",""Fall 2015""
""ENGR 240"",""Strength of Materials"",""Rio Hondo College"",""California Community College"",""Strength of Materials"",""ENGR 240"",""2023-08-18"",""Fall 2022""
""THTR 175"",""Introduction to Stage Makeup or Stage Makeup"",""Rio Hondo College"",""California Community College"",""Makeup Design and Production for Theatre, TV, and Film"",""THTR 176"",""2023-08-18"",""Fall 2021""
""ITIS 164"",""Introduction to Cybersecurity: Ethical Hacking"",""Rio Hondo College"",""California Community College"",""Ethical Hacking"",""CIT 221"",""2023-08-18"",""Fall 2018""
""ITIS 150"",""Computer Network Fundamentals"",""Rio Hondo College"",""California Community College"",""Network +"",""CIT 171"",""2023-08-18"",""Fall 2018""
""ITIS 155"",""Systems and Network Administration"",""Rio Hondo College"",""California Community College"",""Server +"",""CIT 170"",""2023-08-18"",""Fall 2018""
""ENGR 140 B"",""Materials Science and Engineering"",""Rio Hondo College"",""California Community College"",""Materials Science and Engineering"",""ENGR 140"",""2023-08-18"",""Fall 2022""
""SOCI 140"",""Introduction to Gender"",""Rio Hondo College"",""California Community College"",""She, He, They: Intersections of Gender"",""SOC 120"",""2023-08-18"",""Fall 2022""
""SOCI 150"",""Introduction to Race and Ethnicity"",""Rio Hondo College"",""California Community College"",""Power, Oppression, and Privilege: Race and Ethnic Relations"",""SOC 116"",""2023-08-18"",""Fall 2022""
""THTR 151"",""Acting I"",""Rio Hondo College"",""California Community College"",""Principles of Acting I"",""THTR 110"",""2023-08-18"",""Fall 2020""
""THTR 152"",""Acting II"",""Rio Hondo College"",""California Community College"",""Principles of Acting II"",""THTR 111"",""2023-08-18"",""Fall 2020""
""THTR 191"",""Rehearsal and Performance in Production"",""Rio Hondo College"",""California Community College"",""Musical Theatre Rehearsal and Performance"",""THTR 171"",""2023-08-18"",""Fall 2020""
""CHEM 150"",""Organic Chemistry for Science Majors I, with Lab"",""Rio Hondo College"",""California Community College"",""Organic Chemistry I"",""CHEM 230"",""2023-08-18"",""Fall 2018""
""ITIS 160"",""Introduction to Information Systems Security"",""Rio Hondo College"",""California Community College"",""Security+"",""CIT 192"",""2023-08-18"",""Fall 2022""
""ENGL 140"",""Survey of World Literature 1"",""Rio Hondo College"",""California Community College"",""World Literature: Antiquity through the 16th Century Honors"",""LIT 144AH"",""2023-08-18"",""Fall 2022""
""ENGL 145"",""Survey of World Literature 2"",""Rio Hondo College"",""California Community College"",""World Literature: 16th Century to the Present Honors"",""LIT 144BH"",""2023-08-18"",""Fall 2022""
""PSY 150"",""Introduction to Biological Psychology"",""Rio Hondo College"",""California Community College"",""Biological Psychology Honors"",""PSY 210H"",""2023-08-18"",""Spring 2012""
""ITIS 151"",""Switching, Routing and Wireless Essentials"",""Rio Hondo College"",""California Community College"",""Cisco Networking II"",""CIT 214"",""2023-08-18"",""Fall 2021""
""CHEM 101"",""Introduction to Chemistry"",""Rio Hondo College"",""California Community College"",""Introduction to Chemistry"",""CHEM 120"",""2023-08-18"",""Fall 2018""
""ENVS 100"",""Introduction to Environmental Science"",""Rio Hondo College"",""California Community College"",""Environmental Biology"",""BIOL 120"",""2023-08-18"",""Fall 2014""
""CHEM 120 S"",""General Chemistry for Science Majors Sequence A + General Chemistry for Science Majors Sequence A"",""Rio Hondo College"",""California Community College"",""General Chemistry II + General Chemistry I"",""CHEM 140 + CHEM 130"",""2023-08-18"",""Fall 2020 + Fall 2023""
""CHEM 110"",""General Chemistry for Science Majors I, with Lab"",""Rio Hondo College"",""California Community College"",""General Chemistry I"",""CHEM 130"",""2023-08-18"",""Fall 2023""
""ENGR 110"",""Introduction to Engineering"",""Rio Hondo College"",""California Community College"",""Introduction to Engineering"",""ENGT 100"",""2023-08-18"",""Fall 2022""
""ENGR 110"",""Introduction to Engineering"",""Rio Hondo College"",""California Community College"",""Introduction to Engineering"",""ENGR 100"",""2023-08-18"",""Fall 2021""
""ARTH 110"",""Survey of Western Art from Prehistory through the Middle Ages"",""Rio Hondo College"",""California Community College"",""Survey of Western Art: Prehistory through the Middle Ages"",""ART 105"",""2023-08-18"",""Fall 2012""
""ARTH 110"",""Survey of Western Art from Prehistory through the Middle Ages"",""Rio Hondo College"",""California Community College"",""Survey of Western Art: Prehistory through the Middle Ages"",""ART 105H"",""2023-08-18"",""Fall 2015""
""ARTH 120"",""Survey of Western Art from Renaissance to Contemporary"",""Rio Hondo College"",""California Community College"",""Survey of Western Art: Renaissance to Contemporary Honors"",""ART 106H"",""2023-08-18"",""Fall 2015""
""ARTH 120"",""Survey of Western Art from Renaissance to Contemporary"",""Rio Hondo College"",""California Community College"",""Survey of Western Art: Renaissance to Modern"",""ART 106"",""2023-08-18"",""Fall 2012""
""ARTH 145"",""Art of the Ancient Americas"",""Rio Hondo College"",""California Community College"",""Art of the Ancient Americas"",""ART 104"",""2023-08-18"",""Fall 2016""
""ARTH 130"",""Survey of Asian Art"",""Rio Hondo College"",""California Community College"",""The Art of Asia"",""ART 107"",""2023-08-18"",""Fall 2012""
""ARTH 150"",""Survey of Modern Art"",""Rio Hondo College"",""California Community College"",""Visual Art in the Modern Era"",""ART 112"",""2023-08-18"",""Fall 2015""
""ARTH 100"",""Understanding Art"",""Rio Hondo College"",""California Community College"",""Understanding Visual Art"",""ART 110"",""2023-08-18"",""Fall 2015""
""POLS 110"",""Introduction to American Government and Politics"",""Rio Hondo College"",""California Community College"",""Government of the United States"",""POLS  110"",""2023-08-18"",""Fall 2016""
""POLS 110"",""Introduction to American Government and Politics"",""Rio Hondo College"",""California Community College"",""Government of the United States"",""POLS 110H"",""2023-08-18"",""Spring 2015""
""POLS 120"",""Introduction to Political Theory and Thought"",""Rio Hondo College"",""California Community College"",""Introduction to Political Philosophy"",""POLS  128"",""2023-08-18"",""Fall 2013""
""POLS 130"",""Introduction to Comparative Government and Politics"",""Rio Hondo College"",""California Community College"",""Comparative Government"",""POLS  130"",""2023-08-18"",""Spring 2015""
""POLS 140"",""Introduction to International Relations"",""Rio Hondo College"",""California Community College"",""International Relations"",""POLS 140"",""2023-08-18"",""Spring 2015""
""POLS 120"",""Introduction to Political Theory and Thought"",""Rio Hondo College"",""California Community College"",""Introduction to Political Philosophy"",""PHIL 128"",""2023-08-18"",""Fall 2013""
""POLS 120"",""Introduction to Political Theory and Thought"",""Rio Hondo College"",""California Community College"",""Introduction to Political Philosophy Honors"",""PHIL 128H"",""2023-08-18"",""Fall 2016""
""POLS 120"",""Introduction to Political Theory and Thought"",""Rio Hondo College"",""California Community College"",""Introduction to Political Philosophy Honors"",""POLS 128H"",""2023-08-18"",""Fall 2016""
""ENGR 140"",""Materials Science and Engineering"",""Rio Hondo College"",""California Community College"",""Materials Science and Engineering"",""ENGR 141"",""2023-08-18"",""Fall 2023""
""ENGR 140 L"",""Materials Science and Engineering Lab"",""Rio Hondo College"",""California Community College"",""Materials Science and Engineering Lab"",""ENGR 141L"",""2023-08-18"",""Fall 2023""
""COMM 130"",""Interpersonal Communication"",""Rio Hondo College"",""California Community College"",""Interpersonal Communication Honors"",""SPCH 100H"",""2023-08-18"",""Fall 2023""
""CHEM 160 S"",""Organic Chemistry for Science Majors Sequence A, with Lab + Organic Chemistry for Science Majors Sequence A, with Lab"",""Rio Hondo College"",""California Community College"",""Organic Chemistry II + Organic Chemistry I"",""CHEM 231 + CHEM 230"",""2023-08-18"",""Fall 2023""
""MUS 100"",""Music Appreciation"",""Rio Hondo College"",""California Community College"",""Music Appreciation"",""MUS 133"",""2023-08-18"",""Fall 2014""
""MUS 120"",""Music Theory I"",""Rio Hondo College"",""California Community College"",""Music Theory I"",""MUS 103"",""2023-08-18"",""Fall 2018""
""MUS 130"",""Music Theory II"",""Rio Hondo College"",""California Community College"",""Music Theory II"",""MUS 104"",""2023-08-18"",""Fall 2018""
""MUS 110"",""Music Fundamentals"",""Rio Hondo College"",""California Community College"",""Fundamentals of Music"",""MUS 101"",""2023-08-18"",""Fall 2016""
""MUS 125"",""Musicianship I"",""Rio Hondo College"",""California Community College"",""Beginning Musicianship I"",""MUS 106"",""2023-08-18"",""Fall 2016""
""MUS 140"",""Music Theory III"",""Rio Hondo College"",""California Community College"",""Music Theory III"",""MUS 105"",""2023-08-18"",""Fall 2018""
""MUS 135"",""Musicianship II"",""Rio Hondo College"",""California Community College"",""Musicianship II"",""MUS  107"",""2023-08-18"",""Fall 2018""
""MUS 145"",""Musicianship III"",""Rio Hondo College"",""California Community College"",""Musicianship III"",""MUS 156"",""2023-08-18"",""Fall 2018""
""MUS 160"",""Applied Music"",""Rio Hondo College"",""California Community College"",""Applied Music"",""MUS 181"",""2023-08-18"",""Spring 2010""
""MUS 180"",""Major Ensemble"",""Rio Hondo College"",""California Community College"",""Concert Choir"",""MUS 120"",""2023-08-18"",""Fall 2019""
""MUS 180"",""Major Ensemble"",""Rio Hondo College"",""California Community College"",""Advanced Chamber Singers"",""MUS 234"",""2023-08-18"",""Fall 2018""
""MUS 172"",""Piano III"",""Rio Hondo College"",""California Community College"",""Piano III"",""MUS 147"",""2023-08-18"",""Fall 2018""
""MUS 171"",""Piano II"",""Rio Hondo College"",""California Community College"",""Piano II"",""MUS 146"",""2023-08-18"",""Fall 2018""
""MUS 170"",""Piano I"",""Rio Hondo College"",""California Community College"",""Piano I"",""MUS 145"",""2023-08-18"",""Fall 2018""
""MUS 155"",""Musicianship IV"",""Rio Hondo College"",""California Community College"",""Musicianship IV"",""MUS 157"",""2023-08-18"",""Fall 2018""
""MUS 150"",""Music Theory IV"",""Rio Hondo College"",""California Community College"",""Music Theory IV"",""MUS 206"",""2023-08-18"",""Fall 2018""
""MUS 185"",""Specialized Ensemble"",""Rio Hondo College"",""California Community College"",""Industrial Orchestra"",""MUS 216"",""2023-08-18"",""Fall 2018""
""MUS 185"",""Specialized Ensemble"",""Rio Hondo College"",""California Community College"",""Diverse Instruments Ensemble"",""MUS 116"",""2023-08-18"",""Fall 2019""
